execution_location,requests,command,keep,print_written,file_written,verbose,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,10,INFO,0,,,True,0.707,0.071,0.055,0.16,0.032,,0
local,10,INFO,0,,,True,0.809,0.081,0.058,0.158,0.028,,0
local,10,INFO,0,,,True,0.815,0.081,0.055,0.162,0.03,,0
local,10,INFO,0,,,True,1.499,0.15,0.097,0.302,0.08,"time=""2024-12-02T15:57:45-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-20ee5c9a720a aula-redes-snmp-tcp-client-run-bc8318dd3727 aula-redes-snmp-tcp-client-run-e382c125a910 aula-redes-snmp-tcp-client-run-1bf214de2a5b aula-redes-snmp-tcp-client-run-ca0ecc98144e aula-redes-snmp-tcp-client-run-914da00b65c0 aula-redes-snmp-tcp-client-run-21dd9fb46e66 aula-redes-snmp-tcp-client-run-6ccb0058fbf8 aula-redes-snmp-tcp-server-run-a18237231abc aula-redes-snmp-tcp-client-run-d60e0f15431f aula-redes-snmp-tcp-client-run-8b72f9965775 aula-redes-snmp-tcp-client-run-46e97125b0e6 aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f aula-redes-snmp-tcp-server-run-2faad5b550a3]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10,INFO,0,,,True,0.667,0.067,0.048,0.181,0.041,,0
local,10,INFO,0,,,True,1.266,0.127,0.093,0.311,0.065,"time=""2024-12-02T15:59:31-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-dc45197ee007 aula-redes-snmp-tcp-client-run-9ff1db6a5c1e aula-redes-snmp-tcp-client-run-bbd3974b82b5 aula-redes-snmp-tcp-client-run-2806600d8688 aula-redes-snmp-tcp-client-run-20ee5c9a720a aula-redes-snmp-tcp-client-run-bc8318dd3727 aula-redes-snmp-tcp-client-run-e382c125a910 aula-redes-snmp-tcp-client-run-1bf214de2a5b aula-redes-snmp-tcp-client-run-ca0ecc98144e aula-redes-snmp-tcp-client-run-914da00b65c0 aula-redes-snmp-tcp-client-run-21dd9fb46e66 aula-redes-snmp-tcp-client-run-6ccb0058fbf8 aula-redes-snmp-tcp-server-run-a18237231abc aula-redes-snmp-tcp-client-run-d60e0f15431f aula-redes-snmp-tcp-client-run-8b72f9965775 aula-redes-snmp-tcp-client-run-46e97125b0e6 aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f aula-redes-snmp-tcp-server-run-2faad5b550a3]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10,INFO,0,,,True,0.745,0.075,0.053,0.165,0.033,,0
local,10,INFO,0,,,True,1.42,0.142,0.107,0.275,0.049,"time=""2024-12-02T16:00:08-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-fbc9fc497b2c aula-redes-snmp-tcp-client-run-56fb9ebf41bd aula-redes-snmp-tcp-client-run-c6fb5f642258 aula-redes-snmp-tcp-client-run-6973001ed7bd aula-redes-snmp-tcp-client-run-dc45197ee007 aula-redes-snmp-tcp-client-run-9ff1db6a5c1e aula-redes-snmp-tcp-client-run-bbd3974b82b5 aula-redes-snmp-tcp-client-run-2806600d8688 aula-redes-snmp-tcp-client-run-20ee5c9a720a aula-redes-snmp-tcp-client-run-bc8318dd3727 aula-redes-snmp-tcp-client-run-e382c125a910 aula-redes-snmp-tcp-client-run-1bf214de2a5b aula-redes-snmp-tcp-client-run-ca0ecc98144e aula-redes-snmp-tcp-client-run-914da00b65c0 aula-redes-snmp-tcp-client-run-21dd9fb46e66 aula-redes-snmp-tcp-client-run-6ccb0058fbf8 aula-redes-snmp-tcp-server-run-a18237231abc aula-redes-snmp-tcp-client-run-d60e0f15431f aula-redes-snmp-tcp-client-run-8b72f9965775 aula-redes-snmp-tcp-client-run-46e97125b0e6 aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f aula-redes-snmp-tcp-server-run-2faad5b550a3]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10,INFO,0,,,True,0.892,0.089,0.063,0.185,0.038,,0
local,10,INFO,0,,,True,1.363,0.136,0.097,0.279,0.053,,0
local,10,INFO,0,,,True,0.784,0.078,0.056,0.176,0.036,,0
local,10,INFO,0,,,True,1.254,0.125,0.101,0.26,0.049,,0
local,10,INFO,0,,,True,0.846,0.085,0.067,0.168,0.03,,0
local,10,INFO,0,,,True,0.798,0.08,0.069,0.15,0.025,,0
