indentifier,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
10000 SNMPWALK 0,1150.164,0.115,0.082,0.49,0.025,,0
10000 SNMPWALK 0,1187.239,0.119,0.073,0.437,0.027,,0
10000 SNMPWALK 0,1102.122,0.11,0.082,0.444,0.022,,0
10000 SNMPWALK 0,1104.361,0.11,0.082,0.881,0.022,,0
10000 SNMPWALK 0,1126.796,0.113,0.082,1.213,0.026,,0
10000 SNMPWALK 0,1093.627,0.109,0.081,0.362,0.02,,0
10 SNMPWALK 0,1.33,0.133,0.105,0.266,0.05,,0
100 SNMPWALK 0,12.271,0.123,0.099,0.303,0.033,,0
1000 SNMPWALK 0,114.029,0.114,0.087,0.351,0.024,,0
10000 SNMPWALK 0,1105.316,0.111,0.082,0.432,0.022,,0
100000 SNMPWALK 0,,,,,,
docker 10000 SNMPWALK,,,,,,"usage: udp-client.py [-h] [--host HOST] [--port PORT] [--requests REQUESTS]
                     [--verbose] [--log LOG] [--command COMMAND [COMMAND ...]]
udp-client.py: error: unrecognized arguments: --keep",2
local 10000 SNMPWALK,,,,,,"usage: udp-client.py [-h] [--host HOST] [--port PORT] [--requests REQUESTS]
                     [--verbose] [--log LOG] [--command COMMAND [COMMAND ...]]
udp-client.py: error: unrecognized arguments: --keep None",2
local 10000 SNMPWALK,,,,,,"usage: udp-client.py [-h] [--host HOST] [--port PORT] [--requests REQUESTS]
                     [--verbose] [--log LOG] [--command COMMAND [COMMAND ...]]
udp-client.py: error: unrecognized arguments: --keep None",2
local 10000 INFo,,,,,,"usage: udp-client.py [-h] [--host HOST] [--port PORT] [--requests REQUESTS]
                     [--verbose] [--log LOG] [--command COMMAND [COMMAND ...]]
udp-client.py: error: unrecognized arguments: --keep None",2
local 10000 INFO,,,,,,"usage: udp-client.py [-h] [--host HOST] [--port PORT] [--requests REQUESTS]
                     [--verbose] [--log LOG] [--command COMMAND [COMMAND ...]]
udp-client.py: error: unrecognized arguments: --keep None",2
