local_execucao,numero_requisicoes,comando,manter,saiu_na_tela,saiu_no_arquivo,tempo_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,erro_saida,codigo_retorno
docker,10000,SNMPWALK,1,True,True,664.528,0.066,0.043,0.491,0.02,"time=""2024-11-26T16:43:12-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,1,True,True,723.202,0.072,0.043,0.51,0.018,"time=""2024-11-26T16:43:14-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1090.641,0.109,0.083,0.368,0.019,"time=""2024-11-26T16:43:16-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1134.463,0.113,0.084,0.659,0.021,"time=""2024-11-26T16:43:19-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,SNMPWALK,0,True,True,595.1,0.06,0.036,0.368,0.016,,0
local,10000,SNMPWALK,1,True,True,475.831,0.048,0.026,0.211,0.013,,0
local,10000,SNMPWALK,0,True,True,628.618,0.063,0.034,0.288,0.019,,0
local,10000,SNMPWALK,1,True,True,493.851,0.049,0.029,0.421,0.015,,0
docker,10000,SNMPWALK,1,True,True,624.706,0.062,0.044,0.275,0.011,"time=""2024-11-26T16:56:59-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,1,True,True,683.512,0.068,0.051,0.448,0.017,"time=""2024-11-26T16:57:02-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
