execution_location,requests,command,keep,print_written,file_written,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
docker,10000,INFO,1,True,False,244.05,0.024,0.019,0.31,0.009,"time=""2024-11-27T11:46:19-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,290.398,0.029,0.021,0.159,0.009,"time=""2024-11-27T11:46:21-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,690.284,0.069,0.057,0.415,0.016,"time=""2024-11-27T11:46:24-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,767.111,0.077,0.058,0.521,0.021,"time=""2024-11-27T11:46:27-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,INFO,0,True,True,2414.331,0.241,0.173,5.388,0.133,,0
local,10000,INFO,1,True,True,587.533,0.059,0.043,0.353,0.012,,0
local,10000,INFO,0,True,True,18586.994,1.859,0.18,10.409,1.389,,0
local,10000,INFO,1,True,True,574.004,0.057,0.042,2.841,0.034,,0
docker,10000,INFO,1,True,True,227.756,0.023,0.019,0.119,0.005,"time=""2024-11-27T11:46:57-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,310.107,0.031,0.019,0.215,0.01,"time=""2024-11-27T11:47:00-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,732.374,0.073,0.057,0.35,0.018,"time=""2024-11-27T11:47:03-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,803.383,0.08,0.059,0.547,0.02,"time=""2024-11-27T11:47:06-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,INFO,0,True,True,24365.994,2.437,0.184,8.688,1.073,,0
local,10000,INFO,1,True,True,585.887,0.059,0.043,0.376,0.013,,0
local,10000,INFO,0,True,True,2391.668,0.239,0.18,1.937,0.047,,0
local,10000,INFO,1,True,True,561.584,0.056,0.043,0.381,0.012,,0
docker,10000,INFO,1,True,True,261.233,0.026,0.02,0.565,0.013,"time=""2024-11-27T11:47:43-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
